sub,group,phase,SCR
1,None,Acq,-0.139630372
2,None,Acq,-0.097003307
3,None,Acq,-0.137419079
4,None,Acq,0.004261288
5,None,Acq,-0.052653825
6,None,Acq,-0.043132131
7,None,Acq,0.075334535
8,None,Acq,0.03431173
9,None,Acq,-0.006779122
10,None,Acq,0.023883792
11,None,Acq,-0.031225552
12,None,Acq,0.027645964
13,None,Acq,0.178126358
14,None,Acq,0.068286877
15,None,Acq,-0.063475871
16,None,Acq,0.031505277
17,None,Acq,0.373900792
18,None,Acq,-0.058772665
19,None,Acq,-0.065063663
20,None,Acq,-0.072025866
21,None,Acq,-0.030515775
22,None,Acq,-0.022706217
23,None,Acq,-0.014669989
24,None,Acq,-0.004418598
25,Standard,Acq,-0.07358163
26,Standard,Acq,0.022809827
27,Standard,Acq,0.052338015
28,Standard,Acq,0.217736728
29,Standard,Acq,-0.180403358
30,Standard,Acq,-0.113816264
31,Standard,Acq,0.033007514
32,Standard,Acq,0.057868437
33,Standard,Acq,0.014084686
34,Standard,Acq,-0.012006466
35,Standard,Acq,-0.009218834
36,Standard,Acq,0.186766715
37,Standard,Acq,0.099367751
38,Standard,Acq,-0.067834478
39,Standard,Acq,-0.026826647
40,Standard,Acq,-0.002413345
41,Standard,Acq,-0.080933126
42,Standard,Acq,0.050971342
43,Standard,Acq,0.016257739
44,Standard,Acq,0.36321788
45,Standard,Acq,0.004891282
46,Standard,Acq,0.148663057
47,Imagined,Acq,0.018879787
48,Imagined,Acq,0.060731787
49,Imagined,Acq,0.084840335
50,Imagined,Acq,0.073634965
51,Imagined,Acq,0.104967746
52,Imagined,Acq,0.058353071
53,Imagined,Acq,-0.136899391
54,Imagined,Acq,0.011815304
55,Imagined,Acq,0.014165147
56,Imagined,Acq,-0.051985709
57,Imagined,Acq,-0.105306629
58,Imagined,Acq,0.316589963
59,Imagined,Acq,0.183653638
60,Imagined,Acq,-0.059999902
61,Imagined,Acq,0.039805144
62,Imagined,Acq,-0.017188144
63,Imagined,Acq,0.303370398
64,Imagined,Acq,-0.208081338
65,Imagined,Acq,0.034098835
66,Imagined,Acq,-0.013495662
1,None,Early_Ext,0.005105659
2,None,Early_Ext,-0.003972894
3,None,Early_Ext,-0.009692729
4,None,Early_Ext,0.009776388
5,None,Early_Ext,-0.060359828
6,None,Early_Ext,-0.0201205
7,None,Early_Ext,-0.08168947
8,None,Early_Ext,0.000176672
9,None,Early_Ext,-0.036633083
10,None,Early_Ext,0.002304274
11,None,Early_Ext,-0.019925305
